fecha	minsplit	minbucket	maxdepth	corte	cp	ganancia	iteracion
20230909 205839	1189	306	6	9618	-1	59.243	1
20230909 205854	1370	459	9	8614	-1	61.74	2
20230909 205905	1138	244	9	9226	-1	56.63	3
20230909 205939	1110	413	7	9793	-1	61.88	4
20230909 205955	661	219	12	8094	-1	60.316	5
20230909 210007	832	317	11	9661	-1	69.299	6
20230909 210018	1478	377	10	9024	-1	65.099	7
20230909 210027	855	335	9	9050	-1	66.196	8
20230909 210039	1392	209	6	9158	-1	57.446	9
20230909 210050	1338	417	11	8818	-1	63.769	10
20230909 210100	1057	324	12	8519	-1	64.656	11
20230909 210112	555	218	10	8014	-1	63.279	12
20230909 210124	1289	475	6	9049	-1	55.486	13
20230909 210132	1032	385	7	9958	-1	60.55	14
20230909 210146	1473	667	9	9421	-1	62.72	15
20230909 210204	1004	325	12	8788	-1	64.166	16
20230909 210230	824	347	10	9743	-1	69.883	17
20230909 210243	776	388	10	9633	-1	67.643	18
20230909 210300	842	238	10	9934	-1	61.133	19
20230909 210312	710	332	10	8523	-1	64.096	20
20230909 210410	774	371	11	9721	-1	67.829	21
20230909 210443	747	335	10	9633	-1	66.103	22
20230909 210514	861	358	10	9951	-1	68.926	23
20230909 210549	804	337	11	9658	-1	68.996	24
20230909 210621	785	325	11	8170	-1	68.086	25
20230909 210747	1104	348	10	9932	-1	64.563	26
20230909 210818	833	353	11	8762	-1	66.663	27
20230909 210856	828	337	10	10000	-1	67.899	28
20230909 210929	858	355	11	9686	-1	70.373	29
20230909 211008	854	361	10	9651	-1	69.719	30
20230909 211050	862	348	12	9754	-1	69.883	31
20230909 211119	861	348	11	9731	-1	69.999	32
20230909 211153	834	355	11	9674	-1	70.489	33
20230909 211238	854	304	12	8000	-1	65.053	34
20230909 211315	794	395	12	8002	-1	67.293	35
20230909 211350	838	417	12	9689	-1	70.326	36
20230909 211427	853	395	12	9746	-1	69.906	37
20230909 211502	877	438	12	9738	-1	64.516	38
20230909 211532	823	408	12	9628	-1	69.906	39
20230909 211605	831	413	12	9882	-1	69.206	40
